req_id,cluster,kind,requirement_or_question,source,source_location,additional_sources,superseding_authority,supersession_note,implementation_state,implementation_evidence,evidence_state,research_needed,decision_needed,decision_ids,release_relevance,program_sections
REQ-ACC-0001,access,REQUIREMENT,"access_cost must state in the archive the worst-case chunks and bytes decoded to read one arbitrary chunk (max_access_granularity), computed and declared per profile, reported by inspect/inspect --access and printed at pack time for extreme; archives with lookback>0 report true cost. balanced-v3 has lookback 0 and balanced-v6 no multi-Chunk region by contract; whole-object JPEG regions declare worst bytes = region logical bytes.",SPEC,§7.5 L827,"[{""source"": ""SPEC"", ""location"": ""§7.5 L827"", ""local_key"": ""spec-03-0120""}, {""source"": ""SPEC"", ""location"": ""§6.0a L662"", ""local_key"": ""spec-03-0011""}, {""source"": ""SPEC"", ""location"": ""§6.4 L742, L744"", ""local_key"": ""spec-03-0059""}, {""source"": ""SPEC"", ""location"": ""§13.4 L1541"", ""local_key"": ""spec-05-0135""}, {""source"": ""SPEC"", ""location"": ""§13.6 L1556"", ""local_key"": ""spec-05-0148""}, {""source"": ""SPEC"", ""location"": ""§17.4 L1901"", ""local_key"": ""spec-06-0148""}, {""source"": ""docs/cross-file-compression-v1.md"", ""location"": ""§Cohort search L40-41"", ""local_key"": ""docs-compress-0073""}, {""source"": ""docs/jpeg-reconstruction-v1.md"", ""location"": ""§v6 profiles L109-111"", ""local_key"": ""docs-compress-0208""}, {""source"": ""docs/jpeg-reconstruction-v1.md"", ""location"": ""§Access and resource bounds L132-134"", ""local_key"": ""docs-compress-0215""}, {""source"": ""docs/jpeg-reconstruction-v1.md"", ""location"": ""§Access and resource bounds L134-136"", ""local_key"": ""docs-compress-0216""}, {""source"": ""code:crates/entrybound/src/planner.rs"", ""location"": ""crates/entrybound/src/planner.rs:504-509, 573-577"", ""local_key"": ""code-compress-0143""}, {""source"": ""code:crates/entrybound/src/archive/tooling.rs"", ""location"": ""crates/entrybound/src/archive/tooling.rs:1717-1728"", ""local_key"": ""code-fs-0165""}]",docs/cross-file-compression-v1.md L40-41; docs/jpeg-reconstruction-v1.md L109-136; code:crates/entrybound/src/archive/tooling.rs:1717-1728,Declared per-group/per-region costs exist; pack-time printing of access granularity was not found in pack status output; declared group cost understates transitive decode (see lookback-dependency-closure-transitive-cost).,PARTIAL,"archive/tooling.rs:1717-1728 access view; archive/inspection.rs:637-695; planner.rs:504-509, 573-577; entrybound-cli lib.rs:4402-4484 (--access)",CONTRADICTED,Validate declared/reported access cost against measured closures per profile; confirm pack-time reporting.,,DEC-ACC-001; DEC-ACC-025,V1_IMPORTANT,8.5; 10; 12
REQ-ACC-0002,access,OPEN_QUESTION,"The reported random-access granularity counts chunk sizes and lookback only; whether it must account for dictionaries (which random/remote readers must fetch), reconstructive transforms, dedup indirection, encryption segments, metadata fetches and remote round trips is unspecified, and partial retrieval ""fetches only covering chunks"" ignores these dependencies.",SPEC,§13.4 L1541,"[{""source"": ""SPEC"", ""location"": ""§13.4 L1541"", ""local_key"": ""spec-05-0136""}, {""source"": ""SPEC"", ""location"": ""§3.5 C1 L269; §3.6 L288"", ""local_key"": ""spec-01-0183""}, {""source"": ""SPEC"", ""location"": ""§13.2 L1522"", ""local_key"": ""spec-05-0124""}]",,,PARTIAL,archive/inspection.rs:637-695 (dictionary-backed Chunks counted independent); ecf/random.rs:389-450,UNTESTED,"Define a cost model and validate against measured random-read latency, bytes and requests including dictionary fetch overhead.",What is the normative formula for reported random-access granularity/cost?,DEC-ACC-001,V1_IMPORTANT,8.4; 12
REQ-ACC-0003,access,NON_GOAL,Hiding access patterns during remote reads is out of scope (would require ORAM-class techniques); range patterns are visible to the server (cross-ref crypto code-access-0126).,SPEC,§9.8 table L1150,"[{""source"": ""SPEC"", ""location"": ""§9.8 table L1150"", ""local_key"": ""spec-04-0099""}]",,,REJECTED,random_access.rs:270-296 (no padding/batching of requests),UNTESTED,Document leakage of remote access traces in the threat model (crypto cluster).,,,INFORMATIONAL,12; 22.5
REQ-ACC-0004,access,CLAIM_NEEDING_EVIDENCE,"Access reason codes (EB_INPUT_SOURCE_UNSTABLE, EB_RANDOM_ACCESS_POLICY_REFUSED/NOT_INDEXED/ENTRY_NOT_FOUND/ENTRY_NOT_FILE/DEPENDENCY_INVALID, EB_HTTP_RANGE_UNSUPPORTED/INVALID) are emitted by production code, but no test asserts RandomAccessPolicyRefused, NotIndexed, EntryNotFound, EntryNotFile or DependencyInvalid.",code:crates/entrybound/src/diagnostics.rs,"crates/entrybound/src/diagnostics.rs:170-178,180-182 (enum); crates/entrybound/src/diagnostics.rs:326-334,336-338 (strings)","[{""source"": ""code:crates/entrybound/src/diagnostics.rs"", ""location"": ""crates/entrybound/src/diagnostics.rs:170-178,180-182 (enum); crates/entrybound/src/diagnostics.rs:326-334,336-338 (strings)"", ""local_key"": ""code-model-0173""}, {""source"": ""code:crates/entrybound/src/diagnostics.rs"", ""location"": ""crates/entrybound/src/diagnostics.rs:172,328"", ""local_key"": ""code-model-0198""}, {""source"": ""code:crates/entrybound/src/diagnostics.rs"", ""location"": ""crates/entrybound/src/diagnostics.rs:173,329"", ""local_key"": ""code-model-0199""}, {""source"": ""code:crates/entrybound/src/diagnostics.rs"", ""location"": ""crates/entrybound/src/diagnostics.rs:174,330"", ""local_key"": ""code-model-0200""}, {""source"": ""code:crates/entrybound/src/diagnostics.rs"", ""location"": ""crates/entrybound/src/diagnostics.rs:175,331"", ""local_key"": ""code-model-0201""}, {""source"": ""code:crates/entrybound/src/diagnostics.rs"", ""location"": ""crates/entrybound/src/diagnostics.rs:176,332"", ""local_key"": ""code-model-0202""}]",,,IMPLEMENTED,"diagnostics.rs:170-182, 326-338; grep of tests found no assertions for five codes",UNTESTED,Add conformance cases triggering and asserting each access reason code and outcome class.,,,V1_IMPORTANT,29
REQ-ACC-0005,access,CAPABILITY,"Random-access reports distinguish verified metadata, the verified ContentObject, dependency counts, reconstruction/group/dictionary checks, Index status, source stability, fetched bytes, request count and identity status; an optional bounded trace labels each range by AccessPurpose with cache hit/miss (CLI --access-report); purposes are approximate for metadata accounting, and trace overflow fails further reads instead of truncating.",docs/random-access-v1.md,§Reports and trace L107-110,"[{""source"": ""docs/random-access-v1.md"", ""location"": ""§Reports and trace L107-110"", ""local_key"": ""docs-access-0072""}, {""source"": ""docs/random-access-v1.md"", ""location"": ""§Reports and trace L110-112"", ""local_key"": ""docs-access-0073""}, {""source"": ""code:crates/entrybound/src/random_access.rs"", ""location"": ""crates/entrybound/src/random_access.rs:359-384"", ""local_key"": ""code-access-0117""}, {""source"": ""code:crates/entrybound/src/ecf/random.rs"", ""location"": ""crates/entrybound/src/ecf/random.rs:621-623, 645-651"", ""local_key"": ""code-access-0102""}, {""source"": ""code:crates/entrybound/src/random_access.rs"", ""location"": ""crates/entrybound/src/random_access.rs:749-761"", ""local_key"": ""code-access-0124""}, {""source"": ""code:crates/entrybound/src/random_access.rs"", ""location"": ""crates/entrybound/src/random_access.rs:646-663"", ""local_key"": ""code-access-0123""}, {""source"": ""code:crates/entrybound-cli/src/lib.rs"", ""location"": ""crates/entrybound-cli/src/lib.rs:3131-3162"", ""local_key"": ""code-cli-0142""}]","code:crates/entrybound/src/random_access.rs:359-384, 646-663, 749-761",,IMPLEMENTED,"random_access.rs:359-384, 646-663, 749-761; ecf/random.rs:621-623, 645-651; entrybound-cli lib.rs:3131-3162",UNTESTED,Validate trace accounting against a byte-counting proxy; trace size for typical sessions; decide overflow semantics.,"Should trace overflow truncate the trace instead of failing reads, and should TransformPlans/ChunkGroups fetches be labelled as metadata?",DEC-ACC-039,POST_V1,12
REQ-ACC-0006,access,CAPABILITY,"The random reader uses expect() on lazily loaded decode metadata and explain helpers index maps directly, relying on internal ordering or model consistency; misuse or an inconsistent model would panic rather than return a diagnostic.",code:crates/entrybound/src/ecf/random.rs,"crates/entrybound/src/ecf/random.rs:400, 433, 499-503, 797, 811, 885, 907, 921-922","[{""source"": ""code:crates/entrybound/src/ecf/random.rs"", ""location"": ""crates/entrybound/src/ecf/random.rs:400, 433, 499-503, 797, 811, 885, 907, 921-922"", ""local_key"": ""code-access-0106""}, {""source"": ""code:crates/entrybound/src/archive/inspection.rs"", ""location"": ""crates/entrybound/src/archive/inspection.rs:591, 601, 714, 723, 725, 777"", ""local_key"": ""code-access-0154""}]",,,PARTIAL,"ecf/random.rs:400, 433, 499-503, 797, 811, 885, 907, 921-922; archive/inspection.rs:591, 601, 714, 723, 725, 777",UNTESTED,Fuzz random-access and inspection/explain entry points with inconsistent models; panic-free audit.,,,POST_V1,30
REQ-ACC-0007,access,DEFERRED_QUESTION,"Append-in-place is not in v1 (deferred, not refused; repack --add substitutes): the footer must be the final 128 bytes with total length equal to file length, so appended or split bytes fail; encrypted archives bind all segments in ArchiveFinal with a fixed topology, so any change is a rewrite. Prior art: zpaq append-only versioned journal with rollback.",SPEC,§24 item 12 L2517,"[{""source"": ""SPEC"", ""location"": ""§24 item 12 L2517"", ""local_key"": ""spec-08-0019""}, {""source"": ""APPX/chunking.md"", ""location"": ""§5 zpaq L357-359"", ""local_key"": ""appx-chunking-0172""}, {""source"": ""APPX/incumbents.md"", ""location"": ""§05 L149"", ""local_key"": ""appx-incumbents-0106""}, {""source"": ""docs/crypto-threat-model-v1.md"", ""location"": ""§Integrity and unique interpretation L135-139"", ""local_key"": ""docs-crypto-a-0178""}, {""source"": ""docs/crypto-wire-v1.md"", ""location"": ""Encrypted INDEXED container L121-129; Footer v2 L160-178"", ""local_key"": ""docs-crypto-b-0040""}, {""source"": ""code:crates/entrybound/src/ecf/container.rs"", ""location"": ""crates/entrybound/src/ecf/container.rs:2900-2912; crates/entrybound/src/ecf/container.rs:2891-2899"", ""local_key"": ""code-ecf-0111""}]",code:crates/entrybound/src/ecf/container.rs:2891-2912,"SPEC §22.4/§22.5 elsewhere reject append-in-place (disposition 5; cross-ref container spec-07-0226/0240), conflicting with §24 item 12 ""deferred, not refused"".",DEFERRED_APPROVED,"ecf/container.rs:2891-2912 (exact total length, footer final)",UNTESTED,"Assess append-with-new-footer/manifest feasibility against I1, footer self-location, Index, signatures and identity roots; rewrite cost for small updates; demand for versioned-log mode.","Will append-in-place or a versioned append-log mode ever be supported, and how would it interact with footer, index, signatures and ArchiveFinal?",DEC-ACC-004,POST_V1,34
REQ-ACC-0008,access,REQUIREMENT,"diff compares two archives, an archive against a directory, or an archive against a legacy artifact, with --logical (default), --physical, --metadata and --format json|text|unified; repo implements entrybound/archive-diff-v1 over two fully opened archives with --json, --public and per-side unlock options, digest-and-size-only content detail, ordered detail records even when digests match, ReparsePoint changes SEMANTIC and ACL/platform metadata AUXILIARY; diffoscope is the recursive explanatory prior art.",SPEC,§17.4 L1918-1922,"[{""source"": ""SPEC"", ""location"": ""§17.4 L1918-1922"", ""local_key"": ""spec-06-0158""}, {""source"": ""SPEC"", ""location"": ""§17.4 L1925"", ""local_key"": ""spec-06-0159""}, {""source"": ""R1"", ""location"": ""§9.3 L640"", ""local_key"": ""r1-b-0023""}, {""source"": ""docs/archive-diff-v1.md"", ""location"": ""Status L3"", ""local_key"": ""docs-access-0161""}, {""source"": ""docs/archive-diff-v1.md"", ""location"": ""§(intro) L15-16"", ""local_key"": ""docs-access-0168""}, {""source"": ""docs/archive-diff-v1.md"", ""location"": ""§(intro) L16-17"", ""local_key"": ""docs-access-0169""}, {""source"": ""docs/archive-diff-v1.md"", ""location"": ""§Verification scope L24"", ""local_key"": ""docs-access-0174""}, {""source"": ""docs/platform-fidelity-v1.md"", ""location"": ""platform-fidelity-v1.md §Tooling and portability L73-74"", ""local_key"": ""docs-fs-0256""}, {""source"": ""code:crates/entrybound-cli/src/lib.rs"", ""location"": ""crates/entrybound-cli/src/lib.rs:3590-3634"", ""local_key"": ""code-cli-0162""}, {""source"": ""code:crates/entrybound-cli/src/lib.rs"", ""location"": ""crates/entrybound-cli/src/lib.rs:3559-3586"", ""local_key"": ""code-cli-0166""}]","docs/archive-diff-v1.md Status L3, §(intro) L5-17, §Verification scope L24; code:crates/entrybound-cli/src/lib.rs:3559-3634",SPEC mode flags and directory/legacy-artifact inputs are not implemented; the legacy import mode for diff inputs is undecided.,PARTIAL,"archive/tooling.rs:369-403, 659-796; entrybound-cli lib.rs:3559-3634; unit test runs diff --json (lib.rs:6147-6154)",UNTESTED,CLI tests for text/JSON diff of local and encrypted archives; demand for archive-vs-directory and archive-vs-legacy diff (adoption Stage 1 workflows).,Must v1 diff support directory and legacy-artifact inputs (under which import mode) and the SPEC mode flags?,DEC-ACC-008,V1_IMPORTANT,32; 33
REQ-ACC-0009,access,NON_GOAL,"Async is explicitly out of v1 (an async shell over the same sans-io core is near-future scope), although the Research I Rust mapping names a tokio shell; per-call async APIs (node:zlib threadpool exhaustion) are cautionary prior art.",R1,§16 L1005,"[{""source"": ""R1"", ""location"": ""§16 L1005"", ""local_key"": ""r1-b-0258""}, {""source"": ""R1"", ""location"": ""§15 L983; §16 L1005; §17 L1017"", ""local_key"": ""r1-b-0240""}, {""source"": ""R1"", ""location"": ""§17 L1015, L1017"", ""local_key"": ""r1-b-0271""}, {""source"": ""R1"", ""location"": ""§6.2 L369"", ""local_key"": ""r1-a-0172""}]",,,DEFERRED_APPROVED,none found (no async API; reqwest blocking),UNTESTED,"Demand evidence from async consumers (uv, testcontainers) before post-v1 scheduling.","Is any async shell part of v1, or strictly post-v1?",DEC-ACC-050,POST_V1,34
REQ-ACC-0010,access,OPEN_QUESTION,"Bootstrap total_logical_bytes (64 GiB) is below STREAM max_container_bytes (256 GiB) and equals total staging (64 GiB), so CLI workflows using bootstrap policies refuse archives above 64 GiB logical content; scaling beyond requires library callers.",code:crates/entrybound/src/archive.rs,crates/entrybound/src/archive.rs:37-38,"[{""source"": ""code:crates/entrybound/src/archive.rs"", ""location"": ""crates/entrybound/src/archive.rs:37-38"", ""local_key"": ""code-access-0132""}]",,,PARTIAL,crates/entrybound/src/archive.rs:37-38; ecf/stream.rs:338-358,UNTESTED,"CLI pack/verify/extract on 100 GiB-1 TiB datasets; survey target workload sizes (datasets, VM images, backups).",What archive-size ceiling must the V1 CLI support by default?,DEC-ACC-028; DEC-ACC-052,V1_IMPORTANT,13
