# generated by research/experiments/_review/design_review_round1_scan.py; flag meanings:
# READY_UNBUILT: status READY but tooling_to_build names repository paths that do not exist yet
# TIMING_FLAG_MISMATCH: index requires_timing disagrees with the committed specs (timing spec present but flag False)
# TIMING_NO_AFFINITY: a spec with timing: true has no platform.cpu_affinity
# GUARD_LOOSE: timing spec guard looser than decision-method 4.4 (loadavg > 1.0 + |affinity|, other CPU > 3.0, or max_wait_s < 300)
# TIMED_CMD_ON_MNT: a timing spec's command reads a script or helper from /mnt/* (drvfs/9P) inside the timed sample
# SPEC_MIXES_SPLITS: one spec selects both tuning and validation
# AUTO_BLOCKS_EMPTY: protocol.md contains empty generated <!-- BEGIN AUTO:... --> blocks
# SPEC_REF_MISSING: protocol references spec-*.yaml files that do not exist and whose mention is not marked as generated later (heuristic)
# BELOW_MIN_SUPPORT: an explicit item list in some spec has < 10 independence groups or < 5 families in a split (informational: only matters for banded corpus-level verdicts)
# DISK_OVER_HEADROOM: disk_gb_estimate > 250 (D: headroom after disk_guard's 75 GB floor is about 350 GB at review time)
# NO_METRIC_CANONICAL: no spec metric (or its '__stratum' prefix) is a canonical Appendix A.2 name
experiment_id,domain,status,requires_timing,decision_count,compute_hours_estimate,disk_gb_estimate,spec_documents,flags
EXP-CHUNK-001,chunking,READY,False,2,10,2,1,READY_UNBUILT
EXP-CHUNK-002,chunking,NEEDS_TOOLING,False,4,50,30,1,SPEC_REF_MISSING
EXP-CHUNK-003,chunking,NEEDS_TOOLING,False,3,60,10,1,
EXP-CHUNK-004,chunking,NEEDS_TOOLING,False,7,325,135,1,
EXP-CHUNK-005,chunking,NEEDS_TOOLING,False,4,362,10,1,
EXP-CHUNK-006,chunking,NEEDS_TOOLING,False,4,345,20,1,SPEC_REF_MISSING
EXP-CHUNK-007,chunking,NEEDS_TOOLING,False,3,66,5,1,
EXP-CHUNK-008,chunking,NEEDS_TOOLING,True,5,415,10,1,NO_METRIC_CANONICAL;SPEC_REF_MISSING
EXP-CHUNK-009,chunking,NEEDS_TOOLING,True,3,140,3,1,
EXP-CHUNK-010,chunking,NEEDS_TOOLING,False,2,105,4,1,
EXP-CHUNK-011,chunking,READY,False,3,10,5,1,NO_METRIC_CANONICAL;READY_UNBUILT;SPEC_REF_MISSING
EXP-CHUNK-012,chunking,NEEDS_TOOLING,False,5,52,2,1,NO_METRIC_CANONICAL
EXP-CHUNK-013,chunking,BLOCKED,True,3,140,5,1,NO_METRIC_CANONICAL
EXP-CHUNK-014,chunking,NEEDS_TOOLING,True,2,42,8,1,BELOW_MIN_SUPPORT
EXP-CODEC-001,codecs,NEEDS_TOOLING,False,3,180,30,2,
EXP-CODEC-002,codecs,NEEDS_TOOLING,True,5,150,8,2,
EXP-CODEC-003,codecs,NEEDS_TOOLING,False,5,9,4,1,
EXP-CODEC-004,codecs,NEEDS_TOOLING,False,1,290,16,3,TIMED_CMD_ON_MNT;TIMING_FLAG_MISMATCH
EXP-CODEC-005,codecs,NEEDS_TOOLING,False,6,2,8,0,
EXP-CODEC-006,codecs,NEEDS_TOOLING,True,2,225,11,3,
EXP-CODEC-007,codecs,NEEDS_TOOLING,True,1,137,31,3,
EXP-CODEC-008,codecs,NEEDS_TOOLING,True,2,180,66,3,
EXP-CODEC-009,codecs,BLOCKED,True,5,65,7,1,
EXP-CON-001,container,NEEDS_TOOLING,True,7,90,120,3,SPEC_REF_MISSING
EXP-CON-002,container,NEEDS_TOOLING,True,5,75,150,3,
EXP-CON-003,container,NEEDS_TOOLING,True,7,110,30,3,TIMED_CMD_ON_MNT
EXP-CON-004,container,NEEDS_TOOLING,False,2,22,30,1,
EXP-CON-005,container,NEEDS_TOOLING,True,5,120,60,3,TIMED_CMD_ON_MNT
EXP-CON-006,container,NEEDS_TOOLING,False,2,5,3,0,
EXP-CON-007,container,READY,False,2,45,20,2,READY_UNBUILT
EXP-CON-008,container,NEEDS_TOOLING,False,2,1,0.1,0,
EXP-CON-009,container,BLOCKED,True,3,80,40,1,TIMING_NO_AFFINITY
EXP-CON-010,container,BLOCKED,False,3,4,0.1,0,
EXP-CONF-001,conformance,NEEDS_TOOLING,False,27,3,3,0,
EXP-CONF-002,conformance,NEEDS_TOOLING,False,17,150,25,2,
EXP-CONF-003,conformance,NEEDS_TOOLING,False,18,0.5,0.5,0,
EXP-CONF-004,conformance,NEEDS_TOOLING,False,46,40,60,1,
EXP-CONF-005,conformance,NEEDS_TOOLING,False,6,12,15,3,NO_METRIC_CANONICAL
EXP-CONF-006,conformance,NEEDS_TOOLING,False,5,45,25,2,BELOW_MIN_SUPPORT
EXP-CONF-007,conformance,NEEDS_TOOLING,True,16,62,50,3,NO_METRIC_CANONICAL
EXP-CONF-008,conformance,NEEDS_TOOLING,False,3,900,40,2,NO_METRIC_CANONICAL
EXP-CONF-009,conformance,NEEDS_TOOLING,False,20,2430,80,1,NO_METRIC_CANONICAL
EXP-CONF-010,conformance,NEEDS_TOOLING,False,12,330,30,1,NO_METRIC_CANONICAL
EXP-CONF-011,conformance,NEEDS_TOOLING,False,33,70,60,3,NO_METRIC_CANONICAL
EXP-CONF-012,conformance,NEEDS_TOOLING,False,16,12,5,1,NO_METRIC_CANONICAL
EXP-CONF-013,conformance,BLOCKED,False,7,160,25,0,
EXP-CONF-014,conformance,BLOCKED,False,9,180,150,1,NO_METRIC_CANONICAL
EXP-CROSSFILE-001,crossfile,NEEDS_TOOLING,False,2,300,10,1,
EXP-CROSSFILE-002,crossfile,NEEDS_TOOLING,False,1,60,7,1,
EXP-CROSSFILE-003,crossfile,NEEDS_TOOLING,False,4,300,10,2,
EXP-CROSSFILE-004,crossfile,NEEDS_TOOLING,False,6,260,15,1,
EXP-CROSSFILE-005,crossfile,READY,False,1,70,4,1,
EXP-CROSSFILE-006,crossfile,NEEDS_TOOLING,False,6,150,8,2,
EXP-CROSSFILE-007,crossfile,NEEDS_TOOLING,True,5,100,1,2,SPEC_REF_MISSING
EXP-CROSSFILE-008,crossfile,NEEDS_TOOLING,True,5,300,12,2,
EXP-CROSSFILE-009,crossfile,READY,False,1,70,2,2,SPEC_REF_MISSING
EXP-CROSSFILE-010,crossfile,NEEDS_TOOLING,False,1,85,7,1,NO_METRIC_CANONICAL
EXP-CROSSFILE-011,crossfile,BLOCKED,False,1,90,3,1,
EXP-CROSSFILE-012,crossfile,NEEDS_TOOLING,False,1,80,3,1,
EXP-CROSSFILE-013,crossfile,READY,False,1,70,3,1,NO_METRIC_CANONICAL
EXP-CROSSFILE-014,crossfile,NEEDS_TOOLING,False,1,6,0.1,1,NO_METRIC_CANONICAL;SPEC_REF_MISSING
EXP-CRYPTO-001,crypto,NEEDS_TOOLING,False,0,150,50,1,AUTO_BLOCKS_EMPTY
EXP-CRYPTO-002,crypto,NEEDS_TOOLING,False,4,300,220,1,AUTO_BLOCKS_EMPTY
EXP-CRYPTO-003,crypto,NEEDS_TOOLING,True,4,220,85,1,AUTO_BLOCKS_EMPTY;SPEC_REF_MISSING;TIMING_NO_AFFINITY
EXP-CRYPTO-004,crypto,BLOCKED,True,4,300,250,1,AUTO_BLOCKS_EMPTY;TIMING_NO_AFFINITY
EXP-CRYPTO-005,crypto,NEEDS_TOOLING,False,2,70,30,1,AUTO_BLOCKS_EMPTY
EXP-CRYPTO-006,crypto,NEEDS_TOOLING,False,5,150,135,1,AUTO_BLOCKS_EMPTY
EXP-CRYPTO-007,crypto,NEEDS_TOOLING,False,9,40,65,1,AUTO_BLOCKS_EMPTY
EXP-CRYPTO-008,crypto,NEEDS_TOOLING,True,5,50,40,1,AUTO_BLOCKS_EMPTY
EXP-CRYPTO-009,crypto,NEEDS_TOOLING,False,6,200,200,1,AUTO_BLOCKS_EMPTY
EXP-CRYPTO-010,crypto,NEEDS_TOOLING,False,7,120,30,1,AUTO_BLOCKS_EMPTY
EXP-CRYPTO-011,crypto,NEEDS_TOOLING,False,5,10,1,1,AUTO_BLOCKS_EMPTY;NO_METRIC_CANONICAL
EXP-CRYPTO-012,crypto,NEEDS_TOOLING,True,4,80,20,1,AUTO_BLOCKS_EMPTY;TIMING_NO_AFFINITY
EXP-CRYPTO-013,crypto,NEEDS_TOOLING,False,8,20,5,1,AUTO_BLOCKS_EMPTY
EXP-CRYPTO-014,crypto,NEEDS_TOOLING,False,25,40,20,1,AUTO_BLOCKS_EMPTY
EXP-CRYPTO-015,crypto,NEEDS_TOOLING,False,12,60,25,1,AUTO_BLOCKS_EMPTY;NO_METRIC_CANONICAL
EXP-CRYPTO-016,crypto,NEEDS_TOOLING,False,9,30,10,1,AUTO_BLOCKS_EMPTY
EXP-CRYPTO-017,crypto,NEEDS_TOOLING,True,8,40,5,1,AUTO_BLOCKS_EMPTY;TIMING_NO_AFFINITY
EXP-CRYPTO-018,crypto,NEEDS_TOOLING,False,5,5,1,1,AUTO_BLOCKS_EMPTY;NO_METRIC_CANONICAL
EXP-CRYPTO-019,crypto,NEEDS_TOOLING,False,8,20,15,1,AUTO_BLOCKS_EMPTY
EXP-CRYPTO-020,crypto,NEEDS_TOOLING,False,14,2,1,0,AUTO_BLOCKS_EMPTY
EXP-CRYPTO-021,crypto,BLOCKED,False,31,2,1,0,AUTO_BLOCKS_EMPTY
EXP-CRYPTO-022,crypto,NEEDS_TOOLING,False,15,5,1,1,AUTO_BLOCKS_EMPTY
EXP-ECO-001,ecosystem,READY,False,32,6,15,0,READY_UNBUILT
EXP-ECO-002,ecosystem,NEEDS_TOOLING,False,8,30,60,1,
EXP-ECO-003,ecosystem,NEEDS_TOOLING,True,6,29,40,2,
EXP-ECO-004,ecosystem,READY,False,5,25,80,3,NO_METRIC_CANONICAL;READY_UNBUILT
EXP-ECO-005,ecosystem,BLOCKED,False,6,30,80,1,NO_METRIC_CANONICAL
EXP-ECO-006,ecosystem,READY,False,25,20,100,2,BELOW_MIN_SUPPORT;READY_UNBUILT
EXP-ECO-007,ecosystem,READY,False,11,8,30,1,BELOW_MIN_SUPPORT;READY_UNBUILT;SPEC_REF_MISSING
EXP-ECO-008,ecosystem,READY,True,4,45,60,4,BELOW_MIN_SUPPORT;READY_UNBUILT;TIMED_CMD_ON_MNT
EXP-ECO-009,ecosystem,READY,False,3,4,5,1,BELOW_MIN_SUPPORT;READY_UNBUILT
EXP-ECO-010,ecosystem,BLOCKED,False,3,6,10,0,
EXP-ECO-011,ecosystem,READY,False,14,80,30,1,NO_METRIC_CANONICAL;READY_UNBUILT;SPEC_REF_MISSING
EXP-ECO-012,ecosystem,READY,False,9,6,20,1,NO_METRIC_CANONICAL;READY_UNBUILT
EXP-ECO-013,ecosystem,READY,False,12,8,40,0,READY_UNBUILT
EXP-ECO-014,ecosystem,READY,False,5,6,20,1,BELOW_MIN_SUPPORT;NO_METRIC_CANONICAL;READY_UNBUILT
EXP-ECO-015,ecosystem,READY,False,23,6,10,0,READY_UNBUILT
EXP-ECO-016,ecosystem,READY,False,12,4,5,1,NO_METRIC_CANONICAL;READY_UNBUILT
EXP-ECO-017,ecosystem,READY,False,6,3,1,0,READY_UNBUILT
EXP-ECO-018,ecosystem,READY,False,28,3,5,1,READY_UNBUILT
EXP-ECO-019,ecosystem,NEEDS_TOOLING,False,50,20,10,0,
EXP-ECO-020,ecosystem,NEEDS_TOOLING,False,7,10,20,0,
EXP-ECO-021,ecosystem,BLOCKED,False,32,10,5,0,
EXP-ECO-022,ecosystem,BLOCKED,False,31,40,20,0,
EXP-EVAL-001,evaluation,READY,False,5,235,60,13,BELOW_MIN_SUPPORT;NO_METRIC_CANONICAL;READY_UNBUILT;SPEC_MIXES_SPLITS
EXP-EVAL-002,evaluation,NEEDS_TOOLING,False,7,180,80,1,
EXP-EVAL-003,evaluation,NEEDS_TOOLING,True,2,13,10,1,
EXP-EVAL-004,evaluation,NEEDS_TOOLING,True,1,80,20,1,
EXP-EVAL-005,evaluation,NEEDS_TOOLING,True,7,260,120,1,TIMED_CMD_ON_MNT
EXP-EVAL-006,evaluation,NEEDS_TOOLING,False,9,30,40,1,
EXP-EVAL-007,evaluation,NEEDS_TOOLING,False,3,1,0.1,0,
EXP-EVAL-008,evaluation,NEEDS_TOOLING,False,100,2,1,0,
EXP-EVAL-009,evaluation,NEEDS_TOOLING,False,2,12,60,1,NO_METRIC_CANONICAL
EXP-EVAL-010,evaluation,NEEDS_TOOLING,False,2,3,1,0,
EXP-EVAL-011,evaluation,NEEDS_TOOLING,False,3,30,130,0,
EXP-EVAL-012,evaluation,BLOCKED,True,33,500,250,0,
EXP-EVAL-013,evaluation,BLOCKED,True,9,150,150,0,
EXP-INT-001,integrity,NEEDS_TOOLING,False,8,260,46,1,
EXP-INT-002,integrity,NEEDS_TOOLING,False,3,100,22,1,
EXP-INT-003,integrity,NEEDS_TOOLING,False,8,45,11,1,BELOW_MIN_SUPPORT
EXP-INT-004,integrity,NEEDS_TOOLING,True,3,60,16,2,
EXP-INT-005,integrity,NEEDS_TOOLING,False,5,126,40,2,BELOW_MIN_SUPPORT
EXP-INT-006,integrity,NEEDS_TOOLING,True,1,30,60,1,BELOW_MIN_SUPPORT
EXP-INT-007,integrity,NEEDS_TOOLING,False,9,30,20,1,BELOW_MIN_SUPPORT
