decision_id,program_sections,experiment_ids,uncovered_reason,evidence_route,covered,experiment_count,cluster,status,blocker_class
DEC-ACC-001,8.5; 10; 12,EXP-CROSSFILE-004; EXP-CROSSFILE-006; EXP-REMOTE-002,"The question is the normative access-cost formula and its validation against measured decoded and fetched bytes per access (local and HTTP traces). That is an access and remote measurement with ebr-access and ebr-netem, not a planner search or profile experiment; planner experiments only produce the declared access_granularity_bytes each profile writes.","remote domain (section 12) and crossfile domain (section 8.5): EXP-REMOTE-002, EXP-CROSSFILE-004, EXP-CROSSFILE-006 (ids at design time); planner inputs: declared access_granularity_bytes per profile and parameter point from EXP-PLANNER-001 and EXP-PLANNER-006",Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-002,12; 13; 35,EXP-EVAL-005; EXP-EVAL-006; EXP-EVAL-012; EXP-EVAL-013; EXP-REMOTE-012; EXP-SCALE-001; EXP-SCALE-013; EXP-SCALE-016,,,Y,8,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-003,9; 12,EXP-PLANNER-006; EXP-PLANNER-012; EXP-REMOTE-003,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-004,13; 34,EXP-EVAL-008; EXP-SCALE-001; EXP-SCALE-008,,,Y,3,access,INSUFFICIENT_EVIDENCE,HUMAN_PARTICIPANTS
DEC-ACC-005,13,EXP-SCALE-001; EXP-SCALE-006,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-006,13,EXP-SCALE-004; EXP-SCALE-008,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-007,14; 33,EXP-ECO-001; EXP-ECO-020; EXP-SCALE-012; EXP-SCALE-013,,,Y,4,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-008,32; 33,EXP-ECO-006; EXP-ECO-018; EXP-ECO-019,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-009,13; 22.5; 34,EXP-CRYPTO-009; EXP-EVAL-008; EXP-SCALE-010,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-010,12; 22.3; 22.5,EXP-CRYPTO-008; EXP-REMOTE-010,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-011,13; 22.5,EXP-CRYPTO-009; EXP-SCALE-010,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-012,9; 33,EXP-PLANNER-010; EXP-PLANNER-012,"Explain without retained plaintext needs time, memory and accuracy measurements owned by the access and planner domains","Planner and remote domains (sections 9, 12); simulated usefulness of explain output is in EXP-ECO-019 (DEC-MOD-023, DEC-CMP-029)",Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-013,13; 27,EXP-LEGACY-032; EXP-SCALE-002; EXP-SCALE-004; EXP-SCALE-009,,,Y,4,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-014,12,EXP-REMOTE-009,,,Y,1,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-015,12; 32,EXP-ECO-009; EXP-ECO-010; EXP-REMOTE-009; EXP-REMOTE-013,,,Y,4,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-016,12; 31,EXP-ECO-001; EXP-ECO-003; EXP-ECO-009; EXP-REMOTE-009,,,Y,4,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-017,13; 25,EXP-LEGACY-040; EXP-SCALE-002; EXP-SCALE-009,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-018,11; 12,EXP-CON-001; EXP-CON-002; EXP-REMOTE-004,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-019,11; 12,EXP-CON-002; EXP-REMOTE-004; EXP-REMOTE-008,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-020,13,EXP-SCALE-001; EXP-SCALE-007,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-021,29; 33,EXP-CONF-004; EXP-ECO-015; EXP-ECO-022,,,Y,3,access,INSUFFICIENT_EVIDENCE,HUMAN_PARTICIPANTS
DEC-ACC-022,13; 33,EXP-ECO-013; EXP-ECO-015; EXP-ECO-019; EXP-SCALE-001; EXP-SCALE-004; EXP-SCALE-008,,,Y,6,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-023,12; 21,EXP-PLAT-018; EXP-REMOTE-014,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-024,11; 12,EXP-CON-003; EXP-REMOTE-007,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-025,8.5; 12,EXP-CROSSFILE-004; EXP-CROSSFILE-006; EXP-CROSSFILE-008; EXP-REMOTE-002; EXP-REMOTE-011,,,Y,5,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-026,21; 34,EXP-EVAL-008; EXP-PLAT-016,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-027,34,,"Only the v1-disposition aspect could be scored (EXP-EVAL-008 applies to it at Phase E); the substantive question (format-layer vs transport-layer multi-volume, or never) needs a user demand survey, which is HUMAN_PARTICIPANTS and unavailable, plus a formal design exercise for volume addressing without a model change, which is analytical, not measurable here.",Human demand survey (BLOCKED: no participants) + FORMAL design exercise with counterexample search by the access/container designers; EXP-EVAL-008 records a POST_V1 disposition with add-later cost C7.,N,0,access,INSUFFICIENT_EVIDENCE,HUMAN_PARTICIPANTS
DEC-ACC-028,13; 34,EXP-EVAL-008; EXP-SCALE-001; EXP-SCALE-002; EXP-SCALE-006; EXP-SCALE-010; EXP-SCALE-015,,,Y,6,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-029,8.1; 9; 13,EXP-CHUNK-004; EXP-CHUNK-007; EXP-CHUNK-012; EXP-PLANNER-006; EXP-PLANNER-012; EXP-SCALE-001; EXP-SCALE-007,,,Y,7,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-030,9; 14,EXP-SCALE-011; EXP-SCALE-012; EXP-SCALE-013,"Parallel candidate evaluation, codec worker-count byte identity and planner wall time against workers are deterministic-parallelism prototypes owned by the scale domain (section 14). When selections are byte-identical, planner regret is unchanged by construction, so no separate planner experiment is needed.","scale domain (sections 13-14): EXP-SCALE-011, EXP-SCALE-012, EXP-SCALE-013 (ids at design time); EXP-PLANNER-002 traces provide per-candidate work units; EXP-PLANNER-009 covers single-threaded encoder determinism across host classes",Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-031,14,EXP-SCALE-012; EXP-SCALE-013; EXP-SCALE-014; EXP-SCALE-015,,,Y,4,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-032,14,EXP-SCALE-012; EXP-SCALE-013,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-033,14,EXP-SCALE-012; EXP-SCALE-013; EXP-SCALE-015; EXP-SCALE-016,,,Y,4,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-034,14; 35,EXP-EVAL-012; EXP-SCALE-013; EXP-SCALE-015; EXP-SCALE-016,,,Y,4,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-035,12; 24; 33,EXP-ECO-019; EXP-ECO-021; EXP-INT-003,"Presentation and semantics decision (how per-read verification states are surfaced in library results, CLI text and JSON). Its required evidence is a user comprehension study (HUMAN_PARTICIPANTS, unavailable), an enumeration of reachable status combinations (a verification-state oracle over sources including HttpRange, objective MVT-15(a), owned by the integrity/conformance domains) and tests on converted/preserved archives. No remote cost or performance quantity decides it; remote-domain traces (EXP-REMOTE-002/009) only supply example report contents.","integrity-domain HC-15 verification-state oracle (MVT-15(a); sources Memory/LocalFile/HttpRange via ebr-origin); ecosystem section 33 simulated message census (heuristic, SIMULATED cap); human comprehension routed to EXTERNAL_REVIEW_REQUIRED / human participants (blocked)",Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-036,13; 29,EXP-CONF-004; EXP-CONF-007; EXP-SCALE-006,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-037,33; 34,EXP-ECO-020; EXP-EVAL-008,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-038,12; 23,EXP-INT-007; EXP-REMOTE-002,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-039,12; 33,EXP-ECO-020; EXP-ECO-021; EXP-REMOTE-008,,,Y,3,access,INSUFFICIENT_EVIDENCE,HUMAN_PARTICIPANTS
DEC-ACC-040,12; 34,EXP-EVAL-008; EXP-REMOTE-007,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-041,12; 35,EXP-EVAL-012; EXP-REMOTE-012; EXP-REMOTE-013,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-042,12,EXP-REMOTE-005,,,Y,1,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-043,12; 14,EXP-REMOTE-006; EXP-REMOTE-013; EXP-SCALE-012,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-044,12,EXP-REMOTE-008,,,Y,1,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-045,12,EXP-REMOTE-005; EXP-REMOTE-013,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-046,12,EXP-REMOTE-003; EXP-REMOTE-013,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-047,12; 34,EXP-EVAL-008; EXP-REMOTE-013,,,Y,2,access,INSUFFICIENT_EVIDENCE,HUMAN_PARTICIPANTS
DEC-ACC-048,13,EXP-SCALE-001; EXP-SCALE-008,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-049,22.5; 33,EXP-CRYPTO-015; EXP-ECO-015,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-050,33; 34,EXP-ECO-020; EXP-EVAL-008,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-051,33; 34,EXP-ECO-018; EXP-EVAL-008,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-052,13,EXP-SCALE-001; EXP-SCALE-003; EXP-SCALE-004; EXP-SCALE-006,,,Y,4,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-053,13; 21,EXP-PLAT-017; EXP-SCALE-004; EXP-SCALE-008,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-054,13; 33,EXP-ECO-015; EXP-ECO-019; EXP-SCALE-003,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-055,13,EXP-SCALE-004; EXP-SCALE-008,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-056,13,EXP-SCALE-003; EXP-SCALE-007,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-057,13; 30,EXP-CONF-007; EXP-CONF-009; EXP-SCALE-006,,,Y,3,access,INSUFFICIENT_EVIDENCE,EVIDENCE
DEC-ACC-058,13,EXP-SCALE-001; EXP-SCALE-007,,,Y,2,access,INSUFFICIENT_EVIDENCE,EVIDENCE
