# generated by research/tools/experiments/look_plan.py; do not edit (edit look-ownership-overrides.csv)
decision_id,look_number,look_state,cluster,look_group,tuning_wave,owning_experiment,participating_experiments,tuning_only_experiments,hc_screen_experiments,comparison_owners,ws_source_records,mde_record_path,look_condition,ownership_basis
DEC-ACC-001,1,PLANNED,access,LG-access,2,EXP-REMOTE-002,EXP-CROSSFILE-004; EXP-CROSSFILE-006,,,,research/experiments/EXP-REMOTE-002/record.md; research/experiments/EXP-CROSSFILE-004/record.md; research/experiments/EXP-CROSSFILE-006/record.md,research/normalized/EXP-REMOTE-002/decision/DEC-ACC-001-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-001,2,RESERVED,access,LG-access,2,EXP-REMOTE-002,EXP-CROSSFILE-004; EXP-CROSSFILE-006,,,,research/experiments/EXP-REMOTE-002/record.md; research/experiments/EXP-CROSSFILE-004/record.md; research/experiments/EXP-CROSSFILE-006/record.md,research/normalized/EXP-REMOTE-002/decision/DEC-ACC-001-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-002,1,PLANNED,access,LG-access,2,EXP-REMOTE-012,EXP-EVAL-005; EXP-SCALE-001; EXP-SCALE-013,,EXP-EVAL-006,,research/experiments/EXP-REMOTE-012/record.md; research/experiments/EXP-EVAL-005/record.md; research/experiments/EXP-SCALE-001/record.md; research/experiments/EXP-SCALE-013/record.md,research/normalized/EXP-REMOTE-012/decision/DEC-ACC-002-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-002,2,RESERVED,access,LG-access,2,EXP-REMOTE-012,EXP-EVAL-005; EXP-SCALE-001; EXP-SCALE-013,,EXP-EVAL-006,,research/experiments/EXP-REMOTE-012/record.md; research/experiments/EXP-EVAL-005/record.md; research/experiments/EXP-SCALE-001/record.md; research/experiments/EXP-SCALE-013/record.md,research/normalized/EXP-REMOTE-012/decision/DEC-ACC-002-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-003,1,PLANNED,access,LG-access,2,EXP-REMOTE-003,EXP-PLANNER-006,,,,research/experiments/EXP-REMOTE-003/record.md; research/experiments/EXP-PLANNER-006/record.md,research/normalized/EXP-REMOTE-003/decision/DEC-ACC-003-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-003,2,RESERVED,access,LG-access,2,EXP-REMOTE-003,EXP-PLANNER-006,,,,research/experiments/EXP-REMOTE-003/record.md; research/experiments/EXP-PLANNER-006/record.md,research/normalized/EXP-REMOTE-003/decision/DEC-ACC-003-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-004,1,PLANNED,access,LG-access,2,EXP-SCALE-008,EXP-SCALE-001,,,,research/experiments/EXP-SCALE-008/record.md; research/experiments/EXP-SCALE-001/record.md,research/normalized/EXP-SCALE-008/decision/DEC-ACC-004-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-004,2,RESERVED,access,LG-access,2,EXP-SCALE-008,EXP-SCALE-001,,,,research/experiments/EXP-SCALE-008/record.md; research/experiments/EXP-SCALE-001/record.md,research/normalized/EXP-SCALE-008/decision/DEC-ACC-004-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-005,1,PLANNED,access,LG-access,2,EXP-SCALE-001,,,EXP-SCALE-006,,research/experiments/EXP-SCALE-001/record.md,research/normalized/EXP-SCALE-001/decision/DEC-ACC-005-look1-mde.json,after W and S of every decision in the look group are recorded on tuning (PA-03 rule 2); MDE gate section 4.12 passes,rule:home-domain>section-overlap>cluster-focus>fewest-decisions
DEC-ACC-005,2,RESERVED,access,LG-access,2,EXP-SCALE-001,,,EXP-SCALE-006,,research/experiments/EXP-SCALE-001/record.md,research/normalized/EXP-SCALE-001/decision/DEC-ACC-005-look2-mde.json,"only after a documented change, on new validation items from new independence groups committed and fingerprinted before use (section 5.2); otherwise labelled tuning",rule:home-domain>section-overlap>cluster-focus>fewest-decisions
